joining_date,job_title,required_experience,Salary,Industary_Sector,Demanding_Of_the_Job,Overall_Satisfication,Working_model,Considering_Job_Switching_in_Future,Main_Reasons
01/12/2022,Graphic Designer,Less than 2 years,24000,Manufacturer,Increasing,Neutral,On Site,Yes,Better salary/benefits
05/09/2023,Digital Marketing,Fresh graduate,7000,Human Resources Services,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
05/09/2023,Junior Software Developer (Backend),Fresh graduate,15000,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
06/16/2022,Software Developer (Backend),Less than 2 years,60000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
08/07/2022,Software Quality Assurance Engineer,Fresh graduate,15000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
12/03/2023,Web Developer,More than 2 years,55000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
12/05/2021,Web Developer,More than 3 years,100000,TEchnology,Increasing,Neutral,Remote,Yes,Better salary/benefits
09/05/2023,Software Engineer (Backend),Less than 2 years,42500,Technology,Increasing,Neutral,On Site,Yes,Career advancement opportunities
11/08/2023,Software Developer (Backend),Fresh graduate,10000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
11/06/2022,Senior Software Engineer (Backend),Less than 2 years,65000,Technology,Increasing,Neutral,Remote,Yes,Seeking better work-life balance
02/02/2021,Software Engineer (Backend),Less than 2 years,37500,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
04/05/2022,Full Stack Developer,Less than 2 years,30000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
06/05/2023,Full Stack Developer,More than 2 years,80000,Technology,Increasing,Satisfied,Remote,Yes,Career advancement opportunities
07/04/2022,Web Developer,Less than 2 years,45000,Technology,Stable,Satisfied,On Site,Yes,Relocation/move to a different city
03/08/2023,Software Developer (Backend),Less than 2 years,50000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
09/07/2023,Software Quality Assurance Engineer,Fresh graduate,12000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
08/02/2022,Full Stack Developer,More than 3 years,50000,technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
04/09/2023,Full Stack Developer,Less than 2 years,27000,Technology,Increasing,Neutral,On Site,Yes,Better salary/benefits
06/08/2022,Senior Software Developer (Backend),Less than 2 years,40000,Technology,Stable,Neutral,Remote,Yes,Better salary/benefits
06/09/2022,Senior Software Developer (Backend),More than 3 years,70000,Technology,Increasing,Satisfied,Remote,Yes,Career advancement opportunities
07/04/2021,Database Administrator (DBA),More than 3 years,150000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
07/04/2022,Senior Software Developer (Backend),More than 4 years,145000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
05/04/2021,Web Developer,More than 3 years,75000,Technology,Stable,Satisfied,On Site,Yes,Better salary/benefits
04/06/2022,Web Developer,More than 2 years,100000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
02/01/2023,Graphic Designer,Less than 2 years,42500,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
11/08/2022,DevOps Engineer,Less than 2 years,30000,E-learning,Decreasing,Dissatisfied,Remote,Yes,Better salary/benefits
09/07/2022,Digital Marketing,Less than 2 years,32000,Human Resources Services,Stable,Satisfied,On Site,Yes,Better salary/benefits
08/07/2023,Digital Marketing,Less than 2 years,80000,Human Resources Services,Stable,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
07/04/2022,Web Developer,More than 3 years,100000,Technology,Stable,Satisfied,On Site,Yes,Better salary/benefits
04/05/2023,Senior Software Developer (Backend),More than 3 years,55000,Technology,Increasing,Satisfied,On Site,Yes,Relocation/move to a different city
01/02/2022,Senior Software Developer (Frontend),More than 4 years,60000,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
11/08/2021,Senior Software Developer (Frontend),More than 4 years,80000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
10/10/2022,Digital Marketing,Less than 2 years,35000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
08/06/2023,Digital Marketing,Less than 2 years,34000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
02/02/2022,Software Quality Assurance Engineer,Less than 2 years,32000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
08/08/2023,Digital Marketing,Less than 2 years,30000,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
12/06/2020,Software Engineer (Frontend),More than 4 years,125000,Technology,increasing,Very Satisfied,Remote,No,I am happy with my work role
12/02/2021,Software Developer (Backend),More than 3 years,100000,Technology,Decreasing,Satisfied,Remote,Yes,"Career Development, Salary and Benefits"
01/03/2021,Artificial Intelligence (AI) Engineer,More than 4 years,175000,Technology,increasing,Satisfied,Remote,Yes,Better salary/benefits
03/09/2022,Database Administrator (DBA),More than 3 years,125000,Technology,Stable,Satisfied,Remote,Yes,Better salary/benefits
10/10/2022,Software Engineer (Backend),More than 3 years,100000,Technology,Stable,Satisfied,Remote,Yes,Better salary/benefits
05/09/2021,Software Engineer (Backend),More than 6 years,170000,Technology,increasing,Satisfied,Remote,No,I am happy with my work role
09/05/2022,Software Engineer (Backend),More than 3 years,100000,Technology,increasing,Satisfied,Remote,Yes,Seeking better work-life balance
11/09/2021,DevOps Engineer,More than 5 years,165000,Technology,increasing,Satisfied,Remote,Yes,Better salary/benefits
01/11/2022,Software Quality Assurance Engineer,More than 5 years,135000,Human Resources Services,Decreasing,Neutral,On Site,Yes,Better salary/benefits
01/02/2023,Software Engineer (Backend),Less than 2 years,40000,Technology,increasing,Satisfied,On Site,Yes,Better salary/benefits
01/01/2023,Software Engineer (Backend),More than 3 years,70000,Technology,increasing,Satisfied,On Site,Yes,Career advancement opportunities
01/01/2022,Software Developer (Frontend),Less than 2 years,55000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/01/2023,Web Developer,Fresh graduate,15000,Technology,Increasing,Satisfied,Remote,Yes,Career advancement opportunities
01/01/2022,Software Quality Assurance Engineer,More than 3 years,80000,Technology,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/01/2022,Software Developer (Backend),More than 3 years,80000,Finance,Increasing,Satisfied,On Site,Yes,Better salary/benefits
01/02/2021,Web Developer,Fresh graduate,15000,Technology,Increasing,Neutral,On Site,Yes,"Career Development, Salary and Benefits"
01/02/2024,Web Developer,Fresh graduate,20000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
01/02/2023,Software Quality Assurance Engineer,Less than 2 years,30000,Technology,Increasing,Dissatisfied,On Site,Yes,Better salary/benefits
01/02/2022,Software Engineer (Backend),Less than 2 years,50000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
01/02/2023,Software Developer (Frontend),Fresh graduate,10000,Technology,Increasing,Satisfied,Remote,No,I am happy with my work role
02/01/2022,Junior Software Developer (Backend),Less than 2 years,40000,Technology,Increasing,Satisfied,On Site,Yes,"Career Development, Salary and Benefits"
