joining_date,required_experience,Overall_Satisfication,Working_model,Salary
02/02/2023,Less than 2 years,Neutral,On Site,30000
01/02/2022,Less than 2 years,Satisfied,On Site,60000
01/02/2023,Fresh graduate,Satisfied,On Site,26000
01/02/2024,Fresh graduate,Satisfied,On Site,20000
01/02/2023,Less than 2 years,Satisfied,On Site,38000
01/01/2022,Less than 2 years,Satisfied,On Site,40000
01/02/2022,Less than 2 years,Satisfied,Remote,35000
02/01/2022,Less than 2 years,Satisfied,Remote,38000
02/01/2022,Less than 2 years,Satisfied,On Site,80000
01/01/2023,Less than 2 years,Satisfied,On Site,50000
01/02/2022,Less than 2 years,Satisfied,Remote,60000
01/02/2023,More than 3 years,Satisfied,Remote,90000
01/02/2022,More than 2 years,Satisfied,On Site,80000
01/02/2023,More than 2 years,Satisfied,On Site,70000
01/02/2020,Less than 2 years,Satisfied,On Site,35000
01/01/2020,Less than 2 years,Satisfied,On Site,40000
01/02/2022,More than 2 years,Satisfied,On Site,42000
01/02/2023,Less than 2 years,Satisfied,On Site,80000
01/02/2022,More than 6 years,Satisfied,On Site,155000
01/02/2022,Less than 2 years,Satisfied,Remote,50000
01/03/2023,Less than 2 years,Satisfied,Remote,60000
01/01/2023,Less than 2 years,Satisfied,Remote,100000
01/02/2022,Less than 2 years,Neutral,On Site,35000
01/01/2022,More than 3 years,Satisfied,On Site,170000
01/01/2022,Less than 2 years,Satisfied,On Site,60000
01/02/2022,More than 4 years,Dissatisfied,On Site,75000
01/02/2023,Less than 2 years,Satisfied,Hybrid,100000
01/02/2021,More than 2 years,Satisfied,On Site,40000
01/02/2022,Fresh graduate,Neutral,On Site,15000
01/02/2022,More than 2 years,Satisfied,Remote,72000
02/01/2022,More than 2 years,Satisfied,On Site,48000
01/02/2023,More than 2 years,Satisfied,On Site,40000
01/02/2022,Less than 2 years,Satisfied,On Site,30000
01/01/2020,More than 5 years,Satisfied,On Site,110000
01/02/2022,Less than 2 years,Neutral,On Site,25000
01/02/2022,More than 2 years,Satisfied,On Site,37000
01/02/2022,Less than 2 years,Satisfied,Remote,90000
01/02/2023,Less than 2 years,Satisfied,On Site,70000
01/02/2023,More than 3 years,Satisfied,On Site,70000
01/02/2022,Less than 2 years,Neutral,On Site,50000
01/02/2021,More than 2 years,Neutral,On Site,45000
01/01/2023,More than 2 years,Satisfied,On Site,60000
01/01/2023,Fresh graduate,Neutral,On Site,15000
01/01/2020,More than 6 years,Satisfied,On Site,160000
01/02/2023,More than 2 years,Satisfied,On Site,60000
02/01/2023,Less than 2 years,Dissatisfied,On Site,12000
01/01/2022,Less than 2 years,Satisfied,Remote,41000
01/02/2022,More than 2 years,Satisfied,On Site,50000
01/02/2022,More than 2 years,Satisfied,On Site,50000
01/02/2023,Less than 2 years,Satisfied,Remote,100000
01/02/2023,Less than 2 years,Satisfied,On Site,45000
01/02/2022,Less than 2 years,Satisfied,On Site,30000
01/02/2022,Less than 2 years,Satisfied,On Site,55000
01/02/2023,Less than 2 years,Satisfied,On Site,62500
01/02/2022,More than 5 years,Satisfied,Remote,115000
01/01/2022,More than 2 years,Neutral,On Site,100000
01/01/2023,More than 2 years,Satisfied,On Site,85000
01/01/2022,Less than 2 years,Dissatisfied,On Site,40000
01/02/2021,Less than 2 years,Dissatisfied,On Site,70000
01/01/2023,More than 3 years,Satisfied,On Site,80000
